"","","","","","","",""
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","Male","18 - 29 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","Male","30 - 44 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","Male","45 - 69 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","Male","18 - 69 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","Female","18 - 29 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","Female","30 - 44 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","Female","45 - 69 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","Female","18 - 69 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","","18 - 29 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","","45 - 69 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","","18 - 69 Years","2023","","2"
"Average number of servings of fruit and/or vegetables consumed per day","Nutrition","Uganda","","30 - 44 Years","2023","","2"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","Male","18 - 29 Years","2023","","121"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","Male","30 - 44 Years","2023","","123"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","Male","45 - 69 Years","2023","","127"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","Male","18 - 69 Years","2023","","124"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","Female","18 - 29 Years","2023","","113"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","Female","30 - 44 Years","2023","","118"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","Female","45 - 69 Years","2023","","131"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","Female","18 - 69 Years","2023","","120"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","","30 - 44 Years","2023","","120"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","","45 - 69 Years","2023","","129"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","","18 - 69 Years","2023","","122"
"Average systolic blood pressure (mmHg)","Nutrition","Uganda","","18 - 29 Years","2023","","117"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Acholi","","Under 5 Years","2022","","31"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Ankole","","Under 5 Years","2022","","26"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Bugisu","","Under 5 Years","2022","","31"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Bukedi","","Under 5 Years","2022","","18"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Bunyoro","","Under 5 Years","2022","","20"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Busoga","","Under 5 Years","2022","","4"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Kampala","","Under 5 Years","2022","","25"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Karamoja","","Under 5 Years","2022","","57"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Kigezi","","Under 5 Years","2022","","32"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Lango","","Under 5 Years","2022","","32"
"Percentage of children screened for acute malnutrition in the community","Nutrition","North Central","","Under 5 Years","2022","","10"
"Percentage of children screened for acute malnutrition in the community","Nutrition","South Central","","Under 5 Years","2022","","15"
"Percentage of children screened for acute malnutrition in the community","Nutrition","Teso","","Under 5 Years","2022","","17"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","BCG","97"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","DPT/Pentavalent(1)","96"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","DPT/Pentavalent(1)","89"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 -23 months","2022","DPT/Pentavalent(1)","79"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","Polio(1)","96"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","Polio(2)","91"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","Polio(3)","79"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","None","2"
"Percentage of children vaccinated at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","measles","83"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","Under 6 months","2022","","16"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","6 - 11 months","2022","","32"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","12- 23 months","2022","","30"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","24 - 35 months","2022","","18"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","36 - 47 months","2022","","12"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","48 - 59 months","2022","","9"
"Percentage of children who had diarrhea in the 2 weeks before the survey","Nutrition","Uganda","","Total","2022","","19"
"Percentage of children who received  basic vaccinations at any time before the survey","Nutrition","Uganda","","12 - 23 months","2022","","63"
"Percentage of children who received ACT","Nutrition","Uganda","","","2022","","78"
"Percentage of women who are thin","Nutrition","Uganda","Female","15 - 49 Years","2022","","9"
"Percentage of women who had a live birth in the 2 years before the survey","Nutrition","Uganda","Female","15 - 49 Years","2022","Received any ANC from a skilled provider","99"
"Percentage of women who had a live birth in the 2 years before the survey","Nutrition","Uganda","Female","15 - 49 Years","2022","Had 4+ ANC visits","69"
"Percentage of children who received ACT","Nutrition","Uganda","","Under 5","2019","","69"
"Percentage of children who received ACT","Nutrition","Uganda","","","2019","","88"
"Percentage of children who received ACT","Nutrition","Uganda","","Under 5","2019","","88"
"Percentage of children who received ACT","Nutrition","Uganda","","Under 5","2019","","39"
"Percentage of children who received  basic vaccinations at any time before the survey","Nutrition","Uganda","","12 -23 months","2016","","55"
"Percentage of children who received ACT","Nutrition","Uganda","","Under 5","2016","","88"
"Percentage of children who received ACT","Nutrition","Uganda","","","2016","","88"
"Percentage of women who are thin","Nutrition","Uganda","Female","15 - 49 Years","2016","","9"
"Percentage of women who had a live birth in the 2 years before the survey","Nutrition","Uganda","Female","15 - 49 Years","2016","Received any ANC from a skilled provider","97"
"Percentage of women who had a live birth in the 2 years before the survey","Nutrition","Uganda","Female","15 - 49 Years","2016","Had 4+ ANC visits","73"
"Percentage of children who received ACT","Nutrition","Uganda","","Under 5","2015","","87"
"Percentage of children who received ACT","Nutrition","Uganda","","","2015","","87"
"Average systolic blood pressure SBP (mmHg) including those currently on medication for raised BP","Nutrition","Uganda","Male","18 - 68 Years","2014","","126"
"Average systolic blood pressure SBP (mmHg) including those currently on medication for raised BP","Nutrition","Uganda","Female","18 - 68 Years","2014","","122"
"Average systolic blood pressure SBP (mmHg) including those currently on medication for raised BP","Nutrition","Uganda","","18 - 68 Years","2014","","124"
"Average waist circumference (cm)","Nutrition","Uganda","Male","18 - 68 Years","2014","","77"
"Average waist circumference (cm)","Nutrition","Uganda","Female","18 - 68 Years","2014","","80"
"Percentage of children months with severe aemia (haemoglobin lower than 8.0 g/dl)","Nutrition","North Eastern","","","2014","","5"
"Percentage of individuals who currently drink (drank alcohol in the past 30 days)","Nutrition","Uganda","Female","18 - 68 Years","2014","","17"
"Percentage of individuals who currently drink (drank alcohol in the past 30 days)","Nutrition","Uganda","","18 - 68 Years","2014","","28"
"Percentage of individuals who currently drink (drank alcohol in the past 30 days)","Nutrition","Uganda","Male","18 - 68 Years","2014","","40"
"Percentage of women with raised fasting blood glucose currently on medication for raised blood glucose","Nutrition","Uganda","Female","18 - 68 Years","2014","","3"
"Prevalence of malaria in children","Nutrition","Uganda","","36 - 47 Months","2014","according to microscopy","21"
"Prevalence of malaria in children","Nutrition","Uganda","","48 - 59 Months","2014","according to microscopy","25"
"Prevalence of malaria in children","Nutrition","Uganda","Male","","2014","according to microscopy","18"
"Prevalence of malaria in children","Nutrition","Uganda","Female","","2014","according to microscopy","18"
"Prevalence of malaria in children","Nutrition","Uganda","","","2014","according to microscopy","6"
"Prevalence of malaria in children","Nutrition","Uganda","","","2014","according to microscopy","21"
"Prevalence of malaria in children","Nutrition","Central","","","2014","according to microscopy","10"
"Prevalence of malaria in children","Nutrition","Central 2","","","2014","according to microscopy","23"
