year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,UGA,Uganda,UG,Central,UG1,Buikwe,UG1001,262652,252022,514674,44534,38777,34278,30741,24825,20992,16719,13183,9626,7803,6603,4546,3691,1957,1935,1148,1294,46662,40599,34891,31179,22742,17810,13813,11085,8261,6906,5813,4143,3165,1770,1435,901,847,91196,79376,69169,61920,47567,38802,30532,24268,17887,14709,12416,8689,6856,3727,3370,2049,2141
2022,UGA,Uganda,UG,Central,UG1,Bukomansimbi,UG1002,83534,81689,165223,14345,13295,12202,8412,5600,4941,4758,4101,3359,2752,2454,2237,1683,1052,1035,737,571,15275,14530,13348,9475,5566,4114,3618,3375,2613,2389,2035,1694,1281,807,664,515,390,29620,27825,25550,17887,11166,9055,8376,7476,5972,5141,4489,3931,2964,1859,1699,1252,961
2022,UGA,Uganda,UG,Central,UG1,Butambala,UG1003,58087,57049,115136,10384,9235,8528,6575,4242,3621,3213,2720,2120,1772,1567,1214,993,550,590,407,356,11097,10256,9343,6828,4063,3078,2444,2258,1740,1448,1442,1001,752,427,390,267,215,21481,19491,17871,13403,8305,6699,5657,4978,3860,3220,3009,2215,1745,977,980,674,571
2022,UGA,Uganda,UG,Central,UG1,Buvuma,UG1004,70586,81442,152028,15390,10008,6556,5724,7034,6892,5896,4456,3246,2114,1421,706,538,212,185,85,123,16288,10422,6873,6680,7581,7847,7044,5720,4250,3017,2274,1408,1017,444,285,121,171,31678,20430,13429,12404,14615,14739,12940,10176,7496,5131,3695,2114,1555,656,470,206,294
2022,UGA,Uganda,UG,Central,UG1,Gomba,UG1005,90919,95538,186457,16771,14623,12835,8904,6607,5673,5372,4311,3565,2842,2536,2140,1728,905,925,599,583,18168,15615,14201,11124,7262,5571,4926,4152,3364,2870,2390,1875,1474,930,720,476,420,34939,30238,27036,20028,13869,11244,10298,8463,6929,5712,4926,4015,3202,1835,1645,1075,1003
2022,UGA,Uganda,UG,Central,UG1,Kalangala,UG1006,32105,43141,75246,6197,3066,1961,2295,3945,4535,3695,2586,1421,941,552,320,241,113,84,73,80,6643,3281,2227,2637,4899,5854,5533,4315,2921,1857,1190,701,496,169,162,85,171,12840,6347,4188,4932,8844,10389,9228,6901,4342,2798,1742,1021,737,282,246,158,251
2022,UGA,Uganda,UG,Central,UG1,Kalungu,UG1007,105735,100854,206589,17840,16460,14975,11591,7602,6568,5960,5464,3851,3474,2927,2681,2046,1275,1291,932,798,18805,17747,15812,12223,7077,5492,4546,4214,3171,2904,2448,2025,1562,985,749,586,508,36645,34207,30787,23814,14679,12060,10506,9678,7022,6378,5375,4706,3608,2260,2040,1518,1306
2022,UGA,Uganda,UG,Central,UG1,Kampala,UG1008,959110,861592,1820702,132752,94953,83052,125878,154201,127598,83635,56645,33308,23271,15238,11216,6673,3883,2650,2023,2134,139806,97176,73229,90337,128545,108017,74380,51470,32737,24569,16254,10944,6423,3335,1825,1167,1378,272558,192129,156281,216215,282746,235615,158015,108115,66045,47840,31492,22160,13096,7218,4475,3190,3512
2022,UGA,Uganda,UG,Central,UG1,Kassanda,UG1009,163849,171215,335064,30789,25434,21775,17119,14331,11252,10021,7988,6198,4816,4851,2908,2418,1394,1199,709,647,32702,27563,23485,19504,15530,11759,9331,7688,5660,4596,4340,3086,2288,1409,1114,662,498,63491,52997,45260,36623,29861,23011,19352,15676,11858,9412,9191,5994,4706,2803,2313,1371,1145
2022,UGA,Uganda,UG,Central,UG1,Kayunga,UG1010,224908,215690,440598,40798,36519,32080,24302,17275,14469,12960,10623,8646,6972,5856,4189,3714,1987,2010,1269,1239,42330,38808,33725,26789,15606,11604,9506,8375,6821,5829,5059,3441,2801,1640,1460,971,925,83128,75327,65805,51091,32881,26073,22466,18998,15467,12801,10915,7630,6515,3627,3470,2240,2164
2022,UGA,Uganda,UG,Central,UG1,Kiboga,UG1011,91892,95815,187707,17056,14048,11911,9858,7914,6657,5624,4482,3542,2588,2123,1660,1249,1315,808,556,501,17553,14853,12856,11071,8991,6771,5481,4378,3315,2661,2266,1726,1218,1074,732,456,413,34609,28901,24767,20929,16905,13428,11105,8860,6857,5249,4389,3386,2467,2389,1540,1012,914
2022,UGA,Uganda,UG,Central,UG1,Kyankwanzi,UG1012,156225,168030,324255,31902,23918,20014,15702,14006,11825,10135,7322,5466,4204,3267,2184,1622,2270,1087,683,618,32834,25449,20570,17979,16505,12791,10573,7728,6134,4757,3764,2850,1781,2191,1075,569,480,64736,49367,40584,33681,30511,24616,20708,15050,11600,8961,7031,5034,3403,4461,2162,1252,1098
2022,UGA,Uganda,UG,Central,UG1,Kyotera,UG1013,141538,136998,278536,23734,20961,19425,14899,11141,9948,9752,8282,5257,3928,3531,3048,2533,1696,1503,1140,760,25142,23451,20564,15619,9678,8126,7536,6934,5089,3944,2918,2336,2022,1204,1007,748,680,48876,44412,39989,30518,20819,18074,17288,15216,10346,7872,6449,5384,4555,2900,2510,1888,1440
