District,Calcium_(mg),Folate_(mcg),Iron_(mg),Kilocalories_(kcal),Niacin_(mg),Proteins_(g),Riboflavin_(mg),Thiamin_(mg),Vitamin_A_(mcg),Vitamin_B12_(mcg),Vitamin_B6_(mg),Vitamin_C_(mg),Zinc_(mg)
ABIM,66.99,84.26,75.84,69.68,73.18,81.61,64.11,86.52,87.13,31.12,85.43,92.35,70.86
ADJUMANI,22.91,67.69,41.55,67.63,75.23,100.0,55.1,98.38,95.76,100.0,100.0,94.15,63.57
AGAGO,64.41,97.48,76.41,76.3,86.09,89.48,86.58,90.74,96.13,71.5,96.51,100.0,86.78
ALEBTONG,63.12,93.26,58.17,70.04,71.28,67.8,67.91,84.71,87.76,36.47,90.96,100.0,62.15
AMOLATAR,45.78,98.96,54.54,80.77,72.51,64.28,65.99,91.42,87.75,42.76,99.06,99.34,55.55
AMUDAT,79.36,79.55,59.5,67.34,66.75,89.8,82.47,70.35,91.08,86.0,76.28,73.85,74.96
AMURU,58.86,100.0,60.73,64.42,68.1,76.12,63.29,73.63,97.03,80.93,69.36,100.0,60.78
APAC,61.18,97.84,62.54,91.1,88.09,85.03,78.68,95.12,81.61,53.64,95.04,99.78,70.41
ARUA,69.32,96.37,73.94,84.71,83.96,89.76,87.43,90.32,85.78,79.45,91.82,95.74,81.82
BUDUDA,75.5,84.7,58.67,84.9,75.28,91.85,86.67,93.41,87.62,62.01,98.77,96.73,68.53
BUGIRI,62.6,97.37,59.15,85.5,86.6,85.29,80.25,87.97,92.46,62.11,99.38,100.0,66.71
BUGWERI,81.55,95.6,44.56,53.96,53.66,100.0,100.0,56.99,100.0,100.0,84.68,100.0,70.48
BUHWEJU,74.93,100.0,79.77,77.29,87.0,98.75,89.82,97.22,89.47,42.13,100.0,100.0,79.3
BUIKWE,65.79,95.66,64.13,83.62,83.71,79.04,81.55,86.59,87.69,62.18,98.59,100.0,68.6
BUKEDEA,57.03,82.71,59.37,73.4,85.37,91.05,72.1,82.51,96.18,72.1,90.32,100.0,73.11
BUKOMANSIMBI,49.33,97.81,55.18,85.62,82.2,90.29,73.4,93.7,72.95,54.63,95.46,96.93,55.79
BULAMBULI,54.62,91.14,53.93,73.88,82.89,88.15,72.01,89.27,87.77,45.41,98.26,100.0,58.86
BUNYANGABU,72.1,100.0,74.63,80.17,83.77,98.71,86.64,99.17,99.49,67.9,100.0,100.0,81.68
BUSHENYI,76.0,99.84,71.25,80.56,80.34,96.75,90.79,93.26,94.93,79.69,100.0,100.0,75.07
